title,reviewer,rating,date,review,helpful,total_votes,show_title
Pathetic,dogsanddocs,1,17 August 2022,This was a half decent film until 5 minutes towards the end a pathetic throw away line managed to undo a mediocre storyline and half baked action sequences by continuing to stigmatise and a target a specific mental health condition.Come on Hollywood-it's 2022! Change the record. Stop labelling problematic characters or those who are violent with already stigmatised and discriminatory mental health conditions. No wonder the world is messed up when Hollywood pulls a stunt like this. Stop using a mental health condition as a but of a joke...... and shame on Brad Pitt for saying it! Hope you enjoyed the money you got for the film.....how about sending some to a mens mental health charityPathetic.,5,13,Bullet Train
Have I seen this before?,loveasklin,5,16 August 2022,"Why did I watch this movie? Brad Pitt. But he wasn't even that good! He's pretty cool but he rambles and jokes too much. It's a bit funny at times but the whole movie is too silly. Yes, it's a comedy, but they do have a pretty serious 9-5 job.But did I expect a film with substance? No, and that's not what the movie tries to be either. It's a silly movie that tries to entertain the audience. And yes, sometimes I breathed out through my nose because some scenes were kind of funny, but mostly the humor is bad. Way too many Thomas the Tank Engine jokes. That's not funny! That's enough!The film was nicely filmed, but it had bad special effects. It was below all criticism and ruined my (already pretty bad) experience. If Reynolds or The Rock had played the main role, the film would have had minus points, but Brad Pitt is cool and carries.I have already seen this movie several times before. It's just like any other mediocre action comedy that Hollywood has produced in recent years. Always the same humor, poor use of greenscreen, and one-dimensional characters. Couldn't care less about any character.In conclusion, I think the film is mediocre at best and there are so many better films to be made. This movie and Marvel need to learn that it's so easy to tell when it's CGI or not. It does not look good! More practical! Thank you.",6,13,Bullet Train
Why is this dark humor funny?,hpnyvwb,1,14 August 2022,"Yes there are a couple of funny spots but you have to have a sick sense to see them. Stabbing, jabbing, shooting, mocking, and everything else that is dark and gross to watch is here to see. I closed my eyes for the physical jabs of the spewing blood. People were laughing throughout but I guess I didn't get the dark humor.My night of romance was definitely spoiled from all the violent acts in this movie. It caused me to be angry that we didn't get up and leave!",5,13,Bullet Train
Worst movie I've seen all year.,guy_from_may_98,2,11 August 2022,"It was awful.The story is pretty bland and the characters are super uninteresting. There are characters that have backstories minutes before they die and it's really lazy, rushed and annoying. I never cared about anyone in this movie.There are jokes that keeps on reappearing through the whole movie but it's really difficult to enjoy this repetition comedy when the joke was not funny at first. The writers were very confident about the jokes being hilarious that they spammed it, making the movie incredibly one note and embarrassing.The editing was obnoxious and super condescending, treating the audience as if we were just idiots by replaying numerous scenes in flashbacks so we could go ""oooooh I get it"".The soundtrack was intrusive and forced with every song being played only for like 20 to 30 seconds each time. I hate when movies only play fractions of songs to fill the movie.The score sucked. It tried way too hard to imply that the movie is cool and lacked original ideas.This movie is 2h07 and it feels incredibly tiring from the get-go.The acting was decent at least and there are some production values but wow this movie is an infuriating try-hard and boring flick. It's too long, it's never funny and I'm angry at myself for wasting 9.50 euros for this mediocre experience.This movie was a chore to get through.",5,13,Bullet Train
"A mess, sometimes real, sometimes comic book fantasy, and it never works.",JoeBobJones,2,10 August 2022,"Bullet Train is perfect for fans of Everything Everywhere All at Once who can handle stylized violence. Either you'll love it, or hate it, and I hated EEAAO. It's a complete mess, at times rooted in the real world, with actions and consequences, cause and effect, and at other times purely fantastic. The bridge between the two worlds fails. What happened to the passengers, the conductors, the engineers, and the bloodied bodies? They're there when convenient, and not when they get in the way, a lazy tactic in an otherwise heavily stylized but vacuous film.",4,13,Bullet Train
Very unique,mounishyalamarthi,10,6 August 2022,"I love the way how it started and ended. Movie keeps going on with no dragged scenes or low pace. It was just an incredible and smart direction and the background score makes the movie very unique. The screenplay was just amazing. The comedy with action and every main character steals the show, especially Joey king and Brad Pitt. Few guest appearances of some other stars. Damn, it's worth watching it on the big screen. Try to watch it in IMAX before it's sold to some online platforms.",7,13,Bullet Train
"Boring, hyped and without point",Stiiig,3,5 August 2022,"Don't waste your money! I am sorry to say that this is an absolute disappointment. It has a pointless plot, trying to be cool and dreaming to be as good as Tarantino. The humor is shallow. The guest appearances of Ryan Reynolds, Sandra Bullock and Channing Tatum is a desperate try to make the audience happy. Please, wait until this is on Netflix or something.",5,13,Bullet Train
Amazing,veery-85369,10,5 August 2022,"I didn't realize how stacked the cast of this movie was. The style of each character is elevated through the vivid storytelling and editing. The movie is an action comedy film based on the Japanese novel ""Maria Beetle"" by Kotaro Isaka. Like with his previous films of David Leitch, Leitch injects plenty of stylized action into practically every scene, even ones focused mainly on exposition. The fight scenes are really well done, movie just had me smiling the whole time. My favourites of the year easily and highly recommend going to see this one asap.",8,13,Bullet Train
Great movie,malikkhn,10,5 August 2022,A movie you cannot miss for sure. I was recommended to watch this movie by a friend but now I am thankful to him. A perfect movie for with great ending.,8,13,Bullet Train
Excited,moniedas,10,5 August 2022,This is such an epic action movie!!!! A big big salute to the stuntmen for such clean and dramatic stunts. Truly enjoyed watching it! Brad Pitt also did a good job.,6,13,Bullet Train
Such a good acting,sahfd,10,5 August 2022,I think it's about time that the American fraternity goes for someone other than Hiroyuki Sanada. He does an amazing job in all his roles but other Japanese actors could be just as great.,6,13,Bullet Train
Nice,sandeepkumar-34415,10,5 August 2022,"This movie is entertaining and plenty of humour, but it's also jam-packed with action and moves swiftly. Pitt, humour, and action? Check everything three times! If that describes you, grab some popcorn and settle in. Be prepared for an exciting cinema experience that will leave you reeling from thrills, enjoyable action sequences, humour, and the joy of real sentiment.",8,13,Bullet Train
Interesting movie,yashiatoz,10,5 August 2022,I had been waiting for so long for the movie to come out since it was in talks for quite some time. The movie makes up for all the excitement though!!,5,13,Bullet Train
Fantastic movie,sagaratoz,10,5 August 2022,It's a funny action blockbuster that made me laugh out loud while also feeling the tenseness of scenes. Scenes in bullet train is gripping and exciting.,5,13,Bullet Train
Awesome movie,gitanjaliatoz,10,5 August 2022,Bullet train is a real seat filler. I had super expectation as it is from the same director of Dead Pool. Super good story line and action sequences. Good to see Brad Pitt in his full glory.,5,13,Bullet Train
Bullet train nice movie,habikaha,10,4 August 2022,Itne time baad kaafi interesting action movie dekhi. Thoroughly enjoyed it! The movie was a little too stretched but still worth watching! Joey King was great.,7,13,Bullet Train
Mind Blowing movie,pritamatoz,10,4 August 2022,Love this kind of movie. Brilliant performances by the two newcomers...... Director did a superb job. Stunts and action scenes are perfect...............,6,13,Bullet Train
Weird but WONDERFUL,chrisjjones-94573,8,3 August 2022,"We didn't expect to have as much fun watching this film as we did. The style snappy subdued humour and the cameos were very refreshing, whilst the action scenes were well done with even the gore being almost comedic despite how much gore there was!If you like comedy films, action films, or spy films and want a great fairly lighthearted laugh then this film is 100% worth a watch. The trailer did not do this film justice!",7,13,Bullet Train
Perhaps if I were 14 again...,kgreene-955-929538,1,16 October 2022,"Sophomoric humor, gratuitous violence, blood, gore, assassins, a bullet train... What could go wrong?Quite a bit actually.Granted, I was raised on Agatha Christie and have settled into a grudging admiration for unique and powerful films like 'Fight Club' and 'Pulp Fiction,' but this movie can't compare with these. It is chaotic, brassy, self-aware, tired (in truth) and I suppose post-modern. (Post-modern is a term I hardly understand. It seems like an excuse to me for things that are obscure and so wry in their humor and intent that the uninitiated are left at the proverbial station.)Perhaps that is what I can recommend to the serious viewer over the age of maturity. Don't board this train. Instead, take a walk among cherry blossoms and head for more mature entertainments.",6,12,Bullet Train
Tarantino wannabe,luiss-4,2,8 October 2022,"I just spent two hours and seven minutes watching a movie that wishes it was made by Tarantino. What a waste. The Director or the writer, I can imagine idolize Tarantino. Therefore, they tried to imitate it with a stylized Japanese live action anime/manga movie with American and British actors. Why would anybody give it more than two stars is beyond me. Also, there's a trend in movie making this year, all dumb plot lines with great actors i.e ""everything everywhere all at once"" another unbelievably stupid movie. Stylized, gore, and blood splattering all over the place is the norm for people to give it more than two stars.",6,12,Bullet Train
Blockbuster? More like lackluster.,seanmondout,2,5 October 2022,"There are plenty of ludicrously attractive people in this movie, but not a single likable character. Nor do any of them get a single clever or insightful line of dialog. I guess that's the new normal in Hollywood, but it makes for a tedious movie from a director who obviously admires Tarantino. That sounds a lot better than it ends up being. I feel sorry for the teenagers who must be the target audience of this film because they have rated this highly here. On the other hand it does mean they are in for a treat when they grow up and start watching the far better action/comedy films that predate this utter garbage.",7,12,Bullet Train
Very bad,baywolph,3,2 October 2022,"Very bad. Trying to emulate a certain director's style, pacing and dialogue but failing so miserably. Even the choice of music was bad. Brad's Pitt is always going to be Brad Pitt no matter what movie he is in. Would've been fine if he was still a looker but that's all gone. That irritating ""lead"" actress's attempt at an English accent deserves a -47/100. I'm not Japanese but I felt like they were also disrespectful of Japanese culture and people. Heck it was even disrespectful of Japanese toilets. The other actors deserved a lot better than this material. Yes, even Aaron Taylor-Johnson. I didn't mind Channing Tatum too much but that this better be the last time he tries this schtick. Overall a waste of time.",6,12,Bullet Train
Bullet train is a mess of a movie withouth any coherence or sense,vrilss,2,27 September 2022,"They have put in the movie british actors just because USA and UK are friends, right? Then they set the movie in Japan because it's made by Sony!Now they just add americans to this story and mexicans (for the Diversity leftist 'requirement') and women (for the feminism part) and we're good to go on this stupid train journey. But the train stops at every station and they just can't get off because...there is always the bad guy guessing the right door of the train out of more then 20 doors.It's not even funny, just brainless killing (of your time).What happened to hollywood? They just can't make a good movie anymore.",6,12,Bullet Train
Political brainwash,ivarssvarcs,2,17 September 2022,"It would of been nice movie if not pushing its political messages all over the place.It is sad to see that nowadays every second movie have secondary underly with subconscious messages.And then later people ar wondering why somewhere deep down in they base code is unexplainable hate to each other.To be clear. Im not fully supporting any of the existing regimes. They all have it's flaws. But keep these subconscious messages out of movies or state about them ahead so people who do not want to take part in your endless and pointless games can stay out of it.All that said. I believe that movies can return to the path where you can grasp inspiration, love to each other and see new perspectives of things you've haven't thought of.",3,12,Bullet Train
Action packed comedy which most will enjoy,andrewthomasedu,1,15 September 2022,"""Sorry I'm mansplaining"" - Brad Pitt (Bullet Train, 2022) after killing a mass murdering poisoner assassin.Lots of actions, lots of atmosphere, fun quips and lots of comedy spoiled by just a few ham-jammed in PC commentary. No film that uses ""mansplaining"" unironically deserves anything other than a 1 - without this it would've been a 7.5/10. If I want sexism in films I'll enjoy some 1950s comedies.A cramped experience with 2 hrs across a somewhat unbelieavable scenario of a long bullet train ride in Japan where riders are oblivious to multiple people dying, a snake being loose, gunshots and fight scenes, Bullet Train is a fun, action packed comedy that is - conflictingly - an unnecessarily convoluted (and at times poorly paced) film. 2hrs appears to be about half hour too long and the multiple story lines do not help what could be an otherwise exciting flick.Brad Pitt shows his acting experience in spades playing an ""unlucky"" hippy-esque assassin (with some Mr. Smith vibes) who is doing whatever he can to not kill people with unexpected consequences.Joey King's frustratingly accurate faux-damsel in distress paired with the fantastic buddy comedy combo of Aaron Taylor-Johnson and Brian Henry give a lot to like and dislike about this film.Some notable cameos from Channing Tatum, Sandra Bullock and Ryan Reynolds add to the larger than life (and at times gruesome) comedy of decapitations, Japanese mascots, Japanese covers of classic 80s pop and sex perverts (?).Overall a mixed film with a satisfying conclusion which I think could've been a classic with a bit more work of the pacing, cut of an unnecessary storyline or two (Zazie Beetz's The Hornet is just painful) and an ending about half hour sooner. The deconstruction of Brad Pitts character was not too heavy and overall there's a fun mix of unique characters and excellent directing by David Leitch that will give you some hard Quentin Tarantino vibes.",2,12,Bullet Train
Way off track,simondmfisher,2,3 September 2022,"Neither funny, nor engaging.Some really annoying characters, with annoying accents.It won't be winning awards anytime soon; at least films like Kingsman have an amount of subtlety and humour in between the fight scenes; this was just like one long fight scene.I realise it's not a film to be taken seriously, but I think you need a certain degree of believability, Bullet Train has not one iota.Some real cliched scenes, cliched characters and cliched dialogue, proving just about anything can be made these days - makes you wonder how bad the Batwoman film must be..........I'll be waiting for the replacement bus service.",3,12,Bullet Train
not good,cxsevinc,1,2 September 2022,"I like Brad Pitt's movies, unfortunately this one is exception. I did not like bullet train at all, totally disappointing. The movie is like collection of a number of small clips, like patch work. It is very hard to focus, because it passes one part and then another, there is no easy flow. Each clip is different from the other parts. The story is weird, unrealistic and inconsistent. There are many violent fight scenes. The cast is also very strange . After corona pandemic, i expected an enjoyable top movie but this one far from it, I am writing this review because i wanted to tell that it is too bad.",4,12,Bullet Train
The Little Train that Couldn't.,lbullington,1,20 August 2022,"Not even Pitt could save this movie. Rarely have I been so disappointed in a film... nothing original, funny or even interesting. Pitt played himself, which all know needs a partner to reflex off of. Love Pitt but this gets a low, low rating from me.",4,12,Bullet Train
It couldn't be worse.,waveman777,1,15 August 2022,"I haven't seen anything so bad in my life. The whole film is pointless, there is absolutely nothing funny in it, all superficial, all plain stupid, the plot is extremely dumb and there is nothing, absolutely nothing that makes it interesting.",5,12,Bullet Train
Gory and Nasty,flemorgane,1,15 August 2022,"I wish someone had told me before I went to see the movie in the theatre, how gory the movie is. If you like glorification of violence and making fun of deaths, you might like the movie, but to me it was disgusting and left me with images I hope I had never seen.It's too bad because apart from that it was okay; funny characters, well woven plot, interesting directing... But why would anyone want to see dozens and dozens of people dying in horrible ways?",4,12,Bullet Train
Say Thomas the Tank Engine again. I dare you. I double dare you.,BA_Harrison,7,13 August 2022,"Brad Pitt plays assassin Ladybug, who has recently reassessed his lifestyle, returning to work with a supposedly simple gig: retrieve a suitcase from the bullet train. Unsurprisingly, things don't go quite as planned, with several other top assassins on board the train, their missions bringing them into conflict with each other.As a mindless popcorn movie, Bullet Train is entertaining enough, but for the first few stops, I had serious doubts. The film felt like it was trying way too hard to be cool and quirky, with a lot of the dialogue feeling very forced, such as hitman duo Lemon and Tangerine's Thomas the Tank Engine banter. It just didn't feel natural and wasn't as clever or amusing as the writer clearly thought it was (and they obviously thought the Thomas stuff was something special, 'cos they repeat it an awful lot!). The first half of the film feels like something from the late 90s/early 2000s - a bit Tarantino, a little Robert Rodriguez, with a smidge of Guy Ritchie - only it's not Tarantino, Rodriguez or Ritchie at their best.Thankfully, as the film speeds closer and closer to its destination, and the action ramps up, it gets a lot more enjoyable, director David Leitch gradually pulling all of the different plot threads together, fate, luck, coincidence, and karma all playing their part. Plus, it gets mega violent towards the end, with gory death scenes that make one wonder what a film has to do these days in order to get an 18 rating (how times have changed).6.5/10, generously rounded up to 7.",4,12,Bullet Train
Rock This Bad Boy Right Now,rdg45,6,10 August 2022,"The movie started and within thirty minutes, three percent of the audience had left. I guess they are going to post rather negative reviews. If you thought that ""Bullet Train"" was about fast trains in Japan you'd be wrong. It's a little bit of ""Murder on the Orient Express,"" ""Snakes on a Plane,"" and ""Superman"" where you will see guys do impossible things. It is a serious movie and it's a comedy. It is difficult to follow, but it makes some sense. It can be ridiculous at times, but, why shouldn't it be? There might be more people killed in this movie than in ""Saving Private Ryan"" in its opening scene. There is a purpose for all these deaths, or is there? There are some cameos of great actors who have nothing to do with the purpose of the story but fit into the plot. Don't leave as the credits start to roll - stay at least, until mid-way through them. The movie will not be an Academy of Motion Picture Arts and Sciences award winner, and it isn't even trying to be. Some graphics are amazing, some gory, and the language is at many times harsh (prepare for that). Remember when Hollywood said they'd stop promoting smoking? Well, at least in this one, they kept their promise. And, you will learn about the most important and enjoyable item on a bullet train (""If I had one in the chamber, I'd rock this bad boy right now""). Oh, yeah, and don't drink the water.",5,12,Bullet Train
Very Boring,talukdarhimanka,3,7 August 2022,I don't know how people are rating nowadays.. I guess they don't see any movies expect sci-fi and superhero genre. Very bad movie. No logic at all. Person hanging in a bullet train. Physics just died den. And stopped watching after half of the movie becoz I already knew what's gonna happen.,4,12,Bullet Train
Inspiring,aibsikheday,10,5 August 2022,This is such a classic action drama and there's no one better who could have been chosen for the role of the protagonist. Exceptional performance by the case!,6,12,Bullet Train
What a story,sd-90339,10,5 August 2022,David Leitch is a legendary director for action movies. His work is unbeatable and cannot be matched by any other director in the industry. The element of humor also adds a nice flair!,5,12,Bullet Train
Silver Streak 2.0,paah1944,3,5 August 2022,Sort of slick and sometimes moving. Old style one liners and gags. Big Japanese city people must feel dirty. The over use of expletives not clever just ho hum. Violence yes violence graphic macabre violence. Somewhat Kill Billy style. Brad Pitt projects and looks good. What is Channing Tatum & Ryan Reynolds doing in this? Sandra Bullock with a titanium inert face? A dab of Sam Jackson's Snakes on a Plane. A twist of 1976 Silver Streak. The pommie bad guys have a nauseating over the top pommie accent. Product placement abounds. The audio is uber loud. Story difficult to follow. Wait for streaming.Smiley.,3,12,Bullet Train
Subarashi kuso eiga,jflores36592,10,5 August 2022,"Great time. Have seen anything so original in a long time. So much fun. I highly recommend it. Great cast, great food and plushies too. Google translate it.",6,12,Bullet Train
No Character Development But Action and Wit Saves It,shelbythuylinh,6,5 August 2022,It is not just an action film led by Brad Pitt and an all star cast like Aaron Taylor Johnson and Brian Tyree Henry there.As it does not have at all character development but they are not called by their regular names. It is non stop and has two cameos by well known A list actors.But still action and wit save it from being a disaster there. Really everybody trying to off each other was the main reason and partly due to the title there. Non stop and bloody.May not be for the squeamish however. Don't say I did not warn you.,4,12,Bullet Train
Bullet movie is very awesome,roupsingh,10,4 August 2022,David Leitch take a bow!!! What a masterpiece you have created. A light comedy and action movie is all I needed right now. I admire the story line and the loved watching this.,7,12,Bullet Train
Super bullet train movie,furkansk-31744,10,4 August 2022,"Brad Pittt never disappoints, I knew this !!!! How amazing he was in this movie along with Joey King. Both acted so well and made me fall in love with the movie is very super bullet train movie and it's a very interesting this bullet train movie is a very awesome movie.",7,12,Bullet Train
Fun and Hyperactive,harcool,7,4 August 2022,"I got out of Bullet Train a couple minutes ago, and overall: it's a fun, hyperactive and action-packed movie! It's not crazy or unforgettable, but it is definitely not bad. The action is solid, but the one that that really surprised me was that Brad Pitt isn't in the film as much as you'd think he'd be. The action is great and awesome to watch when it does happen.Overall, it's not a film I could go more in depth with, as it's just a fun, enjoyable, funny and hyperactive film. It flashes in your eyes, and it moves at a very fast pace.It's a really great Popcorn Flick to watch when you're with your friends and want to go to theatres to see something funny, fast-paced and action-packed!7/10.",5,12,Bullet Train
"One of the greatest, action comedy movies ever made. Period.",mperrott-80409,10,4 August 2022,"This is, without a doubt, one of the funniest, wittiest, action packed, dark comedy action movies I have ever seen.The characters each have their own unique quirks, the dialogue is fantastic, the story has twists and turns that you sometimes don't expect and of course, the fight scenes are not only well choreographed, but very funny as well.Please, ignore the ""professional"" critics who have been slating this movie. I have no idea what they were expecting to see when watching this movie, but clearly they woke up on the wrong side of the bed that morning. This is a modern classic.",7,12,Bullet Train
a moronic film for moronic viewers ?,rossmcdee1,3,13 October 2022,"There is obvious talent involved in this film, it has a big budget, good and great actors and a couple of excellently choreographed fight scenes.Sadly, the scrip is utterly stupid, impossible, convoluted and really quite trite. If you like getting so drunk that the story doesnt matter, then you could rate this indulgent vanity project above 6/10 - otherwise its almost painful watching Bradass Pitt smarm through this with an unbelievable character - who says 'are you serious as someone is seriously trying to kill him... the whole movie is like some chummy coke fest of sanctimonious and smug exchanges.While it has many good reviews, I would question the aesthetics of those who think this is worth more than 5/10 - it has nothing new to offer, and the characters are so cartoonish they become quickly rather pathetic.Maybe folk are just desperate for something to see, and relative to all the other junk Hollywood has produced the past couple of decades this is some respite for them ? For me it would be better to watch film made pre-millennium that I haven't been seen before - straight after this ~I watched Beau Geste (1966) and (excuse my candor ) it really pisses all of this modern crap.",5,11,Bullet Train
Most fun watch of my life,farisabughazaleh,10,6 October 2022,"I can't really explain what it was but this movie was just a comedy masterpiece in my eyes. The jokes were funny, original and absurd. Brad Pitt was a fantastic pick as the main character. The pacing was great because I was laughing all the time. This movie is packed full of jokes and its not getting boring because its so well executed. The other killers are really well written as well, funny background stories etc. The action was nice and the fights were creative. Also the introductions tof all the other killers were great. CGI was not too bad, but you can sometimes really see that its CGI. If you get the chance, watch it, good acting, good action, funny jokes, creative location and characters, of course very brutal. 10/10
I dont have a point where I can lower my 10 Stars to a lower rating :)",5,11,Bullet Train
Lackluster,ashfordofficial,4,28 September 2022,"1. $90 million budget well spent. But the finished product failed to resonate with me.This film had lots of potential but the second and third act totally ruined up the nice build-up the first act was carrying. It was such a shame though, I thoroughly enjoyed the first act with its stylish visual feast, meticulous, immersive and entertaining tone with a stacked cast and surprising cameos. David Leitch did a wonderful direction, it was the terrible script and the poorly written dialogues that ruined the film for me.2. $90 million budget well spent. But the finished product failed to resonate with me.This film had lots of potential but the second and third act totally ruined up the nice build-up the first act was carrying. It was such a shame though, I thoroughly enjoyed the first act with its stylish visual feast, meticulous, immersive and entertaining tone with a stacked cast and surprising cameos. David Leitch did a wonderful direction, it was the terrible script and the poorly written dialogues that ruined the film for me.",4,11,Bullet Train
"Watch This Movie, Just Trust Me",fraser-simons,9,28 September 2022,"Okay, so from the trailer I expected descent action and that's about it. Frankly, I doubted I could even sit through it... But I wanted brain candy and decided to chance it. I wanted to just switch off and not have to think, you know? This movie is that, but on steroids. I don't think I've been imposed by a shoot um up movie's plotting, but here we are. It is littered with so many Chekhov guns (only some of which are actual guns). A water bottle is a Chekhov gun in this. That should give you a vague idea of how wild it is.Go in knowing absolutely nothing. You can expect exactly what the trailer promises, and then just let the magic happen. I laughed out loud multiple times. I slowly came to realize I wouldn't be able to predict absolutely anything. And as I gave myself over to that, I had the most fun I've had in a very long while. So could you.",4,11,Bullet Train
The Guy Ritchie store called...,orangehenryviii,4,27 September 2022,"..and they want it all back. Even Brad Pitt. Seriously, not that bad a movie for directorial debut, could have been edited down to a great Am Ex commercial, but jeez it was just two hours of being bludgeoned by every Guy Ritchie trope, like being in a Blockbuster and having that section collapse on you, while you're pinned there with the VHS tapes still slowly teetering off the top shelf and pelting you in the face: Snatch ""ow!'"" Revolver ""ow!"" RocknRolla ""ow!"" , Lock Stock and Two Smoking ""ows!"".And boy, Sandra Bullock really phoned it in on this one. I have to admit I had a pretty good time though for the first 30 odd minutes while my popcorn lasted but I had to duck out early after they halfway mark.",6,11,Bullet Train
Worst movie I have seen since Shazam,casaangeenbrug,1,17 September 2022,"This movie just did not feel convincing to me. The entire plot was poorly orchestrated and felt completely random and senseless rather than logical and interesting.Where did the train conductor go? Why did everyone survive an impossible train crash?? How did The White Death survive 2 or 3 strikes of a katana including an additional push through his heart??? Where were the authorities when there are literally 3 fights or more taking place in the bullet train with civilians that can easily call the police????Some characters did not feel convincing either. The daughter of The White Death came across as insane rather than crazy and somewhat understandable, which in my opinion kills the entire charisma of the villain. Not to mention the two 'brothers' with their eternally repetitive humor.The comedy was terrible too. Every single bit that had the most measly potential of being funny was thoroughly exploited up to the point where I was tempted to leave the cinema. For example, the repetitive jokes about the Thomas Train metaphors and Brad Pitt behaving like an intolerable idiot UP TO THE VERY END.",3,11,Bullet Train
Been waiting for something like this!,duleewopper,10,5 September 2022,"This is Pitt at his best. Kept the movie together if you are a fan of his. If you never seen any of his movies. He is great. Especially him pulling off his humor in unique situationsBut that's not to say about the other actors and the whole scenario. The movie itself. Just watched it bc the trailer looked worth a watch. Wasn't disappointed.Lot of movies come out these days are run of the mill. Nice to see an off-the-cuff movie that was fun and gets you laughing. But also thpught, ""wait? What?""Entertainment at it's best if you like movies like this.That was what I wanted and it delivered.",5,11,Bullet Train
HORRIBLE,jabertocci,2,22 August 2022,Walked out half way through. Was upset we stayed that long. Not sure what Brad was thinking when he accepted this role. Maybe he thought he could save the script. He had no chance. Don't pay money to see this movie.,6,11,Bullet Train
Boy farm working OT,chuckienoland,1,15 August 2022,"This was was worst Pitt film ever. 7.5 rating? Gtfo.Terrible script not fun to watch zero character development and the action scenes are stupid.Whoever paid to see this film I'd ask for refund.Pitt getting desperate for a paycheck a la Bruce Willis, I suppose.I'm a ATJ fan and his character was boring.Hollyweird is either puking up remakes, comic films or terrible scripts like this.Direct to a Walmart dvd bin near you!",3,11,Bullet Train
Almost,thisguyjones,7,8 August 2022,"Loses some steam in the third act. A solid set up and premise, but takes a little too long to wrap it up and isn't quite as satisfying as it should've been.",5,11,Bullet Train
Extremely Disappointing,levybob,4,6 August 2022,"'Bullet Train' is not good. It's not good as an action flick. And it's not good as a spoof of action flicks. It's not good as a live action movie because all the action and backgrounds scream that it's not actually taking place on a train but on a sound stage. In fact in some scenes the train (clearly animated) seems to be going at jet speed while when the same exteriors are shown from inside the train through its windows, the train seems to be going 50 miles per hour. The special effects regarding the train are so poorly conceived (head-on crashes after which the train keeps on going), I had to laugh. And I did. The effects are a mess.But all is not lost. Let's get to the 'good'. Brad Pitt as the 'good assassin'; playing against type as a somehow laid back assassin is quite wonderful. He has great timing, great expressions, and he made me laugh (and that was his intention). Aaron Tyler-Johnson is fine as another assassin, as is Brian Tyree Henry as his partner. Sadly I missed some of their dialogue, spoken in a rich British street dialogue.And now for the 'bad'.Joey King as a very strange female assassin was disturbing. Whether the fault lies with Ms. King, or the character, or the direction, I wanted her to disappear from the film as soon as possible. Alert. She does not.There are flashbacks that are ill-timed. The film is just beginning to rev up, to catch fire, it has not yet grabbed the viewer, but suddenly, and unexpectedly, we are thrust back in time, ostensibly to tell us why a new character is about to do what he or she does. One thing for sure about story-telling, the viewer has to be committed to the story's present-day before being moved back into the past. And I was not yet so committed.As for the story, as unbelievable as the premise seems (a group of assassins somehow on the same train) once the premise is 'explained', the seeming coincidence is even less believable.As I said, I was very disappointed.I read the film's negative reviews, went to see it anyway, and with that, I was disappointed.So, I can't say 'Lower your expectations'.Because I did.To no avail.",3,11,Bullet Train
Great movie,deenguru,10,5 August 2022,"The actors of the movie are chosen perfectly, everything about this movie is great. I am in love with Joey King, she is so beautiful and cute. A must watch movie.",7,11,Bullet Train
Amazing wonderful,vaisalid,10,5 August 2022,"Good comedy! Great direction! The movie has everything for being a blockbuster. It's rare that we get such a star studded film these days and this feels like a new role for Brad. Op jokes that land great, one of the best structures and detailed plots I've seen in a comedy, Lemon and Tangerine steal the show.",6,11,Bullet Train
Intresting,paurbadas,10,5 August 2022,Brad Pitt really really stood out in this movie. It's been so long since I've seen him in such a role but he has definitely made his mark in comedic movies with this role.,5,11,Bullet Train
Beautiful story,mahjffhjdcb,10,5 August 2022,Any movie by David Leitch has to mandatorily always surpass viewer expectations. This movie is no less! The action sequence in the movie hits every point.,5,11,Bullet Train
Heart touching,manikisgydh,10,5 August 2022,The movie is one of the most fun movies I have watched in a long long long time. A thoroughly entertaining movie and a must watch for all Brad Pitt fans!,5,11,Bullet Train
Mind blowing,niefhdahkc,10,5 August 2022,I always feel that Brad Pitt always brings so much to the table with all his roles. He has a certain kind of charm that is certainly unbeatable. This movie is no less! The action.,5,11,Bullet Train
Good job,mmal-35860,10,5 August 2022,"The feel of the entire movie was so exciting and colorful. It couldn't have been done any better, not by the directors, not by the actors. Truly wonderful!",5,11,Bullet Train
Awesome story,dasn-11725,10,5 August 2022,Brad Pitt is like the Anil Kapoor of Bollywood. Keeps getting better in terms of acting with every new film and also keeps looking younger by the day.,5,11,Bullet Train
Fantastic story,ngosh-39244,10,5 August 2022,I am not going to give out any spoilers but the movie has 2 cameos that will take your breath away. Love it when there are special appearances you don't expect!,5,11,Bullet Train
amazing,noniedas,10,5 August 2022,"The Bullet Train is a movie I had been waiting for so long. Ever since I read the book, I really wanted a movie adaptation and after watching the movie, I am stoked!!!",5,11,Bullet Train
Recommended it,bsahadev,10,5 August 2022,The movie is absolutely sick. It is very well possible that it might just turn out to be one of the highest grossing movies of the year.. It would be well deserved too!,5,11,Bullet Train
Like this,sadesgosh,10,5 August 2022,"I absolutely adore Aaron Taylor Johnson. He is such a glorious actor and I think he deserves more fame. Nonetheless, he is such a beautiful bonus to this film.",5,11,Bullet Train
Best and good,sarbanipal,10,5 August 2022,I think this is one of those odd cases where the movie exceeds the level of the book. Not that the book wasn't good but the movie just goes above and beyond it!,5,11,Bullet Train
Nice,ufghxcbjydfvnj,10,5 August 2022,"For every student who is learning movie direction and cinematography, the movie is beyond amazing. The camera angles and the structure are beyond perfection!",5,11,Bullet Train
Wonderful,ddas-13983,10,5 August 2022,The movie goes above and beyond all my expectations from it and it comes to me as no surprise since it stars Brad Pitt and Joey King - Great casting!!,5,11,Bullet Train
